TE	Freq	Fraction	Tissue_Number	Sex	Type
DNA	1	0.0526315789473684	8	Male	LincRNA
LINE	4	0.210526315789474	8	Male	LincRNA
LTR	10	0.526315789473684	8	Male	LincRNA
SINE	4	0.210526315789474	8	Male	LincRNA
DNA	1	0.1	9	Male	LincRNA
LINE	4	0.4	9	Male	LincRNA
LTR	3	0.3	9	Male	LincRNA
SINE	2	0.2	9	Male	LincRNA
LINE	5	0.5	10	Male	LincRNA
LTR	4	0.4	10	Male	LincRNA
SINE	1	0.1	10	Male	LincRNA
LINE	6	0.375	11	Male	LincRNA
LTR	9	0.5625	11	Male	LincRNA
SINE	1	0.0625	11	Male	LincRNA
LINE	5	0.238095238095238	12	Male	LincRNA
LTR	10	0.476190476190476	12	Male	LincRNA
SINE	6	0.285714285714286	12	Male	LincRNA
LINE	7	0.388888888888889	13	Male	LincRNA
LTR	9	0.5	13	Male	LincRNA
SINE	2	0.111111111111111	13	Male	LincRNA
DNA	4	0.173913043478261	14	Male	LincRNA
LINE	3	0.130434782608696	14	Male	LincRNA
LTR	11	0.478260869565217	14	Male	LincRNA
SINE	5	0.217391304347826	14	Male	LincRNA
LINE	2	0.181818181818182	15	Male	LincRNA
LTR	8	0.727272727272727	15	Male	LincRNA
SINE	1	0.0909090909090909	15	Male	LincRNA
DNA	1	0.0588235294117647	16	Male	LincRNA
LINE	3	0.176470588235294	16	Male	LincRNA
LTR	9	0.529411764705882	16	Male	LincRNA
SINE	4	0.235294117647059	16	Male	LincRNA
LINE	3	0.3	17	Male	LincRNA
LTR	4	0.4	17	Male	LincRNA
SINE	3	0.3	17	Male	LincRNA
DNA	1	0.0769230769230769	18	Male	LincRNA
LINE	2	0.153846153846154	18	Male	LincRNA
LTR	8	0.615384615384615	18	Male	LincRNA
SINE	2	0.153846153846154	18	Male	LincRNA
LINE	1	0.2	19	Male	LincRNA
LTR	3	0.6	19	Male	LincRNA
SINE	1	0.2	19	Male	LincRNA
LINE	1	0.1	20	Male	LincRNA
LTR	4	0.4	20	Male	LincRNA
SINE	5	0.5	20	Male	LincRNA
DNA	1	0.0833333333333333	21	Male	LincRNA
LINE	5	0.416666666666667	21	Male	LincRNA
LTR	3	0.25	21	Male	LincRNA
SINE	3	0.25	21	Male	LincRNA
DNA	1	0.0833333333333333	22	Male	LincRNA
LINE	5	0.416666666666667	22	Male	LincRNA
LTR	5	0.416666666666667	22	Male	LincRNA
SINE	1	0.0833333333333333	22	Male	LincRNA
LTR	4	1	23	Male	LincRNA
DNA	1	0.2	24	Male	LincRNA
LINE	1	0.2	24	Male	LincRNA
LTR	1	0.2	24	Male	LincRNA
SINE	2	0.4	24	Male	LincRNA
DNA	1	0.2	25	Male	LincRNA
LTR	2	0.4	25	Male	LincRNA
SINE	2	0.4	25	Male	LincRNA
LINE	5	0.625	26	Male	LincRNA
LTR	2	0.25	26	Male	LincRNA
SINE	1	0.125	26	Male	LincRNA
DNA	1	0.0833333333333333	27	Male	LincRNA
LINE	2	0.166666666666667	27	Male	LincRNA
LTR	7	0.583333333333333	27	Male	LincRNA
SINE	2	0.166666666666667	27	Male	LincRNA
DNA	1	0.111111111111111	28	Male	LincRNA
