	Testis_sex1	Adrenal_Gland_sex1	Brain_Spinal_cord_cervical_c_1_sex1	Brain_Amygdala_sex1	Brain_Anterior_cingulate_cortex_BA24_sex1	Brain_Caudate_basal_ganglia_sex1	Brain_Cortex_sex1	Brain_Frontal_Cortex_BA9_sex1	Brain_Hippocampus_sex1	Brain_Hypothalamus_sex1	Brain_Nucleus_accumbens_basal_ganglia_sex1	Brain_Putamen_basal_ganglia_sex1	Brain_Substantia_nigra_sex1	Brain_Cerebellar_Hemisphere_sex1	Brain_Cerebellum_sex1	Pituitary_sex1	Kidney_Cortex_sex1	Liver_sex1	Thyroid_sex1	Spleen_sex1	Whole_Blood_sex1	Esophagus_Mucosa_sex1	Skin_Not_Sun_Exposed_Suprapubic_sex1	Skin_Sun_Exposed_Lower_leg_sex1	Heart_Atrial_Appendage_sex1	Heart_Left_Ventricle_sex1	Muscle_Skeletal_sex1	Lung_sex1	Nerve_Tibial_sex1	Pancreas_sex1	Minor_Salivary_Gland_sex1	Adipose_Subcutaneous_sex1	Adipose_Visceral_Omentum_sex1	Breast_Mammary_Tissue_sex1	Colon_Transverse_sex1	Small_Intestine_Terminal_Ileum_sex1	Stomach_sex1	Artery_Aorta_sex1	Artery_Tibial_sex1	Artery_Coronary_sex1	Colon_Sigmoid_sex1	Esophagus_Muscularis_sex1	Esophagus_Gastroesophageal_Junction_sex1	Prostate_sex1
ENST00000495596.5	1.280928976	-0.017635718	0.061545056	-0.777771148	-0.571901136	0.093217366	0.489121236	-0.271014195	-0.445211897	-0.603573445	-0.065144182	-0.080980337	0.124889675	-0.144324956	0.283251223	2.151917489	1.344273595	-1.363708876	0.077381211	1.930211322	-2.012991222	-1.41121734	-1.04698578	-0.936132696	-0.492720362	-0.571901136	1.344273595	-0.286850349	0.109053521	-1.205347328	-0.761934993	0.441612771	0.219906604	0.077381211	-0.112652647	-0.761934993	-0.524392671	-0.920296541	-0.825279613	-0.635245755	2.056900561	1.708505155	1.486798988	1.565979762
ENST00000496603.5	0.645546881	-0.913626015	-0.100144504	0.035435748	0.035435748	0.713337007	0.238806125	0.238806125	-0.16793463	1.391238266	1.933559273	0.577756755	-0.235724756	1.459028392	1.052287636	3.696102546	0.442176503	-0.16793463	1.32344814	-0.913626015	-0.913626015	-0.100144504	-0.913626015	-0.913626015	-0.913626015	-0.913626015	-0.913626015	-0.032354378	-0.913626015	1.459028392	0.509966629	-0.913626015	-0.913626015	-0.913626015	0.171015999	-0.032354378	0.577756755	-0.913626015	-0.913626015	-0.913626015	-0.16793463	-0.913626015	-0.913626015	0.035435748
ENST00000497858.1	0.544630814	-0.067252445	-0.518641734	0.033056286	-0.237777287	0.444322083	0.073179779	-0.267869906	0.333982479	1.367162408	0.033056286	-0.468487368	-0.388240384	-0.307993399	-0.107375937	4.958214976	0.223642875	0.083210652	1.838613443	-0.859691419	-1.110463246	-0.889784038	-0.929907531	-0.939938404	-0.628981338	-0.749351815	-0.929907531	0.153426763	0.213612002	1.186606692	0.233673748	-0.639012211	-0.639012211	0.293858987	-0.368178637	-0.468487368	0.414229464	-0.618950465	-0.79950618	-0.598888719	-0.057221572	0.063148906	0.14339589	0.955896611
ENST00000509294.1	0.858272947	0.004104446	-0.884230795	-0.640182652	-0.591373023	-0.532801469	-0.327801029	-0.566968209	-0.4498251	-0.542563395	-0.610896875	-0.513277618	-0.801254427	0.736248876	1.024225685	4.518995095	1.873513223	-0.664587466	0.887558724	0.516605547	-0.308277177	0.272557404	0.511724584	0.370176661	-0.767087686	-0.635301689	-0.708516132	-0.566968209	-0.327801029	-0.044705183	0.155414295	-0.713397095	-0.820778278	-0.596253986	0.858272947	1.321964419	1.624584117	-0.693873244	-0.649944578	-0.669468429	-0.376610657	-0.464467989	-0.435182212	0.370176661
ENST00000511687.1	1.087518343	3.997613616	-0.017581128	-0.643804161	-0.827987407	-0.533294214	-0.680640811	-0.791150758	-0.31227432	-0.164927724	-0.680640811	-0.606967512	-0.570130863	-0.791150758	-0.791150758	3.260880636	0.571805257	1.013845045	1.56639478	0.166602117	-0.570130863	-0.128091075	-0.533294214	-0.606967512	0.792825151	0.092928819	-0.901660705	0.092928819	0.240275415	-0.422784267	-0.31227432	-0.570130863	-0.128091075	-0.385947618	-0.422784267	-0.643804161	-0.422784267	-0.275437671	-0.091254426	0.166602117	-0.385947618	-0.349110969	0.129765468	1.382211535
ENST00000512055.5	2.158272682	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	0.288456492	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	0.401778685	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	-0.221493378	6.011227255
ENST00000512331.5	1.19865872	0.790841332	-0.937284849	-0.483588005	-0.47339257	-0.233799855	-0.692594416	-0.753767024	-0.636519525	-0.631421808	-0.249093007	-0.371438223	-0.626324091	-0.488685722	-0.580444634	5.271734881	0.933577418	0.174017533	1.917436866	-0.157334095	-1.263538759	0.092454056	0.479880574	0.291265032	-0.386731375	-0.366340506	-0.763962459	0.036379165	0.592030356	-0.305167898	-0.14713866	-0.279679311	-0.310265615	-0.284777028	-0.289874746	-0.340851919	-0.37653594	0.245385576	0.066965469	0.036379165	-0.024793443	-0.162431812	0.061867751	0.4289034
ENST00000515479.5	0.93546824	1.623354335	-1.015626868	-0.61540223	-0.65292329	-0.265205672	-0.740472429	-0.890556668	-0.727965409	-0.890556668	-0.352754812	-0.66543031	-0.840528589	-0.065093354	-0.040079314	3.912138981	0.522736583	0.235075124	2.748986128	-0.340247792	-1.941146342	0.335131284	0.447694463	0.560257642	-0.190163553	-0.302726732	-0.903063688	-0.115121433	1.773438575	-0.065093354	0.009948766	0.160033005	-0.027572294	0.160033005	-0.465317991	-0.515346071	-0.515346071	-0.465317991	-0.57788117	-0.115121433	0.034962806	-0.077600374	0.322624264	0.597778702
ENST00000525899.5	0.480792346	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	6.441956558	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	0.190003848	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774	-0.173481774
ENST00000527758.1	-1.095653732	-0.452870209	-0.36829343	-0.36829343	-0.419039497	-0.114563092	-0.435954853	-0.402124142	-0.317547362	-0.063817024	-0.08073238	-0.249885939	-0.36829343	0.206828669	0.139167246	4.097360517	0.172997958	-0.029986313	0.494389719	0.545135787	-0.960330885	-0.419039497	-0.960330885	-1.044907664	-0.419039497	-0.469785565	-0.994161597	-0.148393804	-0.452870209	3.353084859	0.578966498	-0.774261971	-0.638939124	-0.723515903	0.12225189	0.071505823	0.697373989	0.646627922	0.037675111	0.562051142	-0.402124142	-0.36829343	-0.097647736	1.915279611
